schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260807-woohee-005,5030557,detail_images/5030557_01_39495f2ecb15.jpg,HAS_TEXT,HEURISTIC,0.1329,2026-08-07T18:30:08.362051+09:00,heuristic_score=0.1329
1.0,20260807-woohee-005,5030557,detail_images/5030557_02_f2ba8ba4444e.jpg,HAS_TEXT,HEURISTIC,0.2667,2026-08-07T18:30:08.371109+09:00,heuristic_score=0.2667
1.0,20260807-woohee-005,5030557,detail_images/5030557_03_c3c131301a03.jpg,HAS_TEXT,HEURISTIC,0.5144,2026-08-07T18:30:08.384554+09:00,heuristic_score=0.5144
1.0,20260807-woohee-005,5030557,detail_images/5030557_04_9e9fa3a0802a.jpg,HAS_TEXT,HEURISTIC,0.148,2026-08-07T18:30:08.405312+09:00,heuristic_score=0.1480
1.0,20260807-woohee-005,1000178619,detail_images/1000178619_01_ce743eedd212.jpg,HAS_TEXT,PADDLE_PREPASS,0.517,2026-08-07T18:31:00.318051+09:00,blocks=2
1.0,20260807-woohee-005,1000178619,detail_images/1000178619_02_3347f030f082.jpg,HAS_TEXT,HEURISTIC,0.4495,2026-08-07T18:31:00.342014+09:00,heuristic_score=0.4495
1.0,20260807-woohee-005,1000178619,detail_images/1000178619_03_ed94639035bc.jpg,HAS_TEXT,HEURISTIC,0.1908,2026-08-07T18:31:00.426938+09:00,heuristic_score=0.1908
1.0,20260807-woohee-005,1000178619,detail_images/1000178619_04_0d71b85e1ea3.jpg,HAS_TEXT,HEURISTIC,0.2609,2026-08-07T18:31:00.460630+09:00,heuristic_score=0.2609
1.0,20260807-woohee-005,1000178619,detail_images/1000178619_05_1172efd80fe3.jpg,HAS_TEXT,HEURISTIC,0.1211,2026-08-07T18:31:00.476196+09:00,heuristic_score=0.1211
1.0,20260807-woohee-005,5056795,detail_images/5056795_01_e193b774726e.jpg,HAS_TEXT,HEURISTIC,0.178,2026-08-07T18:31:00.495552+09:00,heuristic_score=0.1780
1.0,20260807-woohee-005,5056795,detail_images/5056795_02_e656c2ef25ca.jpg,HAS_TEXT,HEURISTIC,0.4193,2026-08-07T18:31:00.501012+09:00,heuristic_score=0.4193
1.0,20260807-woohee-005,5056795,detail_images/5056795_03_32de3345cf58.jpg,HAS_TEXT,HEURISTIC,0.1676,2026-08-07T18:31:00.518136+09:00,heuristic_score=0.1676
1.0,20260807-woohee-005,5065494,detail_images/5065494_01_d843b8605cdd.jpg,NO_TEXT,PADDLE_PREPASS,0.0,2026-08-07T18:31:25.400023+09:00,blocks=0
1.0,20260807-woohee-005,5065494,detail_images/5065494_02_1b4b7aa7f1c9.jpg,HAS_TEXT,HEURISTIC,0.2814,2026-08-07T18:31:25.420802+09:00,heuristic_score=0.2814
1.0,20260807-woohee-005,5065494,detail_images/5065494_03_eef6788df1ad.jpg,HAS_TEXT,HEURISTIC,0.1679,2026-08-07T18:31:25.468072+09:00,heuristic_score=0.1679
1.0,20260807-woohee-005,1001417009,detail_images/1001417009_01_e881d61fc275.jpg,HAS_TEXT,HEURISTIC,0.13,2026-08-07T18:31:25.502781+09:00,heuristic_score=0.1300
1.0,20260807-woohee-005,1001417009,detail_images/1001417009_02_339d16fb2836.jpg,HAS_TEXT,HEURISTIC,0.1282,2026-08-07T18:31:25.526427+09:00,heuristic_score=0.1282
1.0,20260807-woohee-005,1001417009,detail_images/1001417009_03_25b7e55e4a45.jpg,HAS_TEXT,HEURISTIC,0.2575,2026-08-07T18:31:25.543820+09:00,heuristic_score=0.2575
1.0,20260807-woohee-005,1001417009,detail_images/1001417009_04_8fab993368ef.jpg,HAS_TEXT,HEURISTIC,0.2979,2026-08-07T18:31:25.556975+09:00,heuristic_score=0.2979
