schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_01_a6bfb6590eb7.jpg,HAS_TEXT,HEURISTIC,0.2745,2026-08-13T17:43:01.607799+09:00,heuristic_score=0.2745
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_02_a929f37da9a8.jpg,HAS_TEXT,HEURISTIC,0.3219,2026-08-13T17:43:01.678537+09:00,heuristic_score=0.3219
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_03_d69556aa94c8.jpg,HAS_TEXT,HEURISTIC,0.4697,2026-08-13T17:43:01.734467+09:00,heuristic_score=0.4697
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_04_ff018c4ebe92.jpg,HAS_TEXT,HEURISTIC,0.2758,2026-08-13T17:43:01.872924+09:00,heuristic_score=0.2758
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_05_1acc4d839b18.jpg,HAS_TEXT,HEURISTIC,0.2658,2026-08-13T17:43:02.006801+09:00,heuristic_score=0.2658
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_06_00a80f20aef3.jpg,HAS_TEXT,HEURISTIC,0.5215,2026-08-13T17:43:02.219606+09:00,heuristic_score=0.5215
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_07_4b38ba157218.jpg,HAS_TEXT,HEURISTIC,0.4276,2026-08-13T17:43:02.356671+09:00,heuristic_score=0.4276
1.0,20260813-sunyeong-된장,5156728,detail_images/5156728_08_0ea1558295f5.jpg,HAS_TEXT,HEURISTIC,0.3356,2026-08-13T17:43:02.545730+09:00,heuristic_score=0.3356
1.0,20260813-sunyeong-된장,5156568,detail_images/5156568_01_2dc807d32f75.jpg,HAS_TEXT,HEURISTIC,0.3022,2026-08-13T17:43:02.685876+09:00,heuristic_score=0.3022
1.0,20260813-sunyeong-된장,5156568,detail_images/5156568_02_df3307f2a6c7.jpg,HAS_TEXT,HEURISTIC,0.4314,2026-08-13T17:43:02.727081+09:00,heuristic_score=0.4314
1.0,20260813-sunyeong-된장,5156568,detail_images/5156568_03_a399cbcad122.jpg,HAS_TEXT,HEURISTIC,0.3955,2026-08-13T17:43:02.887717+09:00,heuristic_score=0.3955
1.0,20260813-sunyeong-된장,5081496,detail_images/5081496_01_bd78bb9df485.jpg,HAS_TEXT,HEURISTIC,0.3339,2026-08-13T17:43:03.028792+09:00,heuristic_score=0.3339
1.0,20260813-sunyeong-된장,5081496,detail_images/5081496_02_3233d2c5e4b5.jpg,HAS_TEXT,HEURISTIC,0.3985,2026-08-13T17:43:03.068681+09:00,heuristic_score=0.3985
1.0,20260813-sunyeong-된장,5081496,detail_images/5081496_03_5bcc78bed457.jpg,HAS_TEXT,HEURISTIC,0.388,2026-08-13T17:43:03.201301+09:00,heuristic_score=0.3880
1.0,20260813-sunyeong-된장,1002206625,detail_images/1002206625_01_a4d9ab403da3.jpg,HAS_TEXT,HEURISTIC,0.698,2026-08-13T17:43:03.893210+09:00,heuristic_score=0.6980
1.0,20260813-sunyeong-된장,1002206625,detail_images/1002206625_02_387de63a974a.jpg,HAS_TEXT,HEURISTIC,0.2548,2026-08-13T17:43:04.066315+09:00,heuristic_score=0.2548
1.0,20260813-sunyeong-된장,1002206625,detail_images/1002206625_03_222b1c87d175.jpg,HAS_TEXT,HEURISTIC,0.6861,2026-08-13T17:43:04.153858+09:00,heuristic_score=0.6861
1.0,20260813-sunyeong-된장,5068386,detail_images/5068386_01_c6cddb34207f.jpg,HAS_TEXT,HEURISTIC,0.1927,2026-08-13T17:43:04.296268+09:00,heuristic_score=0.1927
1.0,20260813-sunyeong-된장,5068386,detail_images/5068386_02_6966baa747f0.jpg,HAS_TEXT,HEURISTIC,0.2957,2026-08-13T17:43:04.361998+09:00,heuristic_score=0.2957
1.0,20260813-sunyeong-된장,5068386,detail_images/5068386_03_3be1153b1b2d.jpg,HAS_TEXT,HEURISTIC,0.3477,2026-08-13T17:43:04.542112+09:00,heuristic_score=0.3477
