schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260815-sunyeong-새우젓,5156673,detail_images/5156673_01_e1afb5bd7307.jpg,HAS_TEXT,HEURISTIC,0.3091,2026-08-15T20:40:40.149349+09:00,heuristic_score=0.3091
1.0,20260815-sunyeong-새우젓,5156673,detail_images/5156673_02_fcac0b0bebd6.jpg,HAS_TEXT,HEURISTIC,0.1846,2026-08-15T20:40:40.345733+09:00,heuristic_score=0.1846
1.0,20260815-sunyeong-새우젓,5156673,detail_images/5156673_03_b800e8d30b0c.jpg,HAS_TEXT,HEURISTIC,0.7161,2026-08-15T20:40:40.801273+09:00,heuristic_score=0.7161
1.0,20260815-sunyeong-새우젓,1001974646,detail_images/1001974646_01_eb769e20dcfe.jpg,HAS_TEXT,HEURISTIC,0.1799,2026-08-15T20:40:41.131564+09:00,heuristic_score=0.1799
1.0,20260815-sunyeong-새우젓,1001974646,detail_images/1001974646_02_363e55a1573c.jpg,HAS_TEXT,HEURISTIC,0.1835,2026-08-15T20:40:41.380872+09:00,heuristic_score=0.1835
1.0,20260815-sunyeong-새우젓,1001974646,detail_images/1001974646_03_de45939c6083.jpg,HAS_TEXT,HEURISTIC,0.6655,2026-08-15T20:40:41.649303+09:00,heuristic_score=0.6655
1.0,20260815-sunyeong-새우젓,1000285015,detail_images/1000285015_01_53ca0cd9d8ca.jpg,HAS_TEXT,HEURISTIC,0.3198,2026-08-15T20:40:41.995397+09:00,heuristic_score=0.3198
1.0,20260815-sunyeong-새우젓,1000285015,detail_images/1000285015_02_0bfcf30fab17.jpg,HAS_TEXT,HEURISTIC,0.3406,2026-08-15T20:40:42.263804+09:00,heuristic_score=0.3406
1.0,20260815-sunyeong-새우젓,1000285015,detail_images/1000285015_03_c97e33c81640.jpg,HAS_TEXT,HEURISTIC,0.2226,2026-08-15T20:40:42.593897+09:00,heuristic_score=0.2226
1.0,20260815-sunyeong-새우젓,1000285015,detail_images/1000285015_04_59d02cf4a65f.jpg,HAS_TEXT,HEURISTIC,0.4127,2026-08-15T20:40:43.170465+09:00,heuristic_score=0.4127
1.0,20260815-sunyeong-새우젓,5156733,detail_images/5156733_01_ee9fbeb047e9.jpg,HAS_TEXT,HEURISTIC,0.3926,2026-08-15T20:40:43.522785+09:00,heuristic_score=0.3926
1.0,20260815-sunyeong-새우젓,5156733,detail_images/5156733_02_6973c40459a6.jpg,HAS_TEXT,HEURISTIC,0.3092,2026-08-15T20:40:43.722224+09:00,heuristic_score=0.3092
1.0,20260815-sunyeong-새우젓,5156733,detail_images/5156733_03_9cb2e1adc002.jpg,HAS_TEXT,HEURISTIC,0.4082,2026-08-15T20:40:44.137205+09:00,heuristic_score=0.4082
1.0,20260815-sunyeong-새우젓,5156733,detail_images/5156733_04_6a648e06f35f.jpg,HAS_TEXT,PADDLE_PREPASS,0.9563,2026-08-15T20:54:15.905406+09:00,blocks=4
1.0,20260815-sunyeong-새우젓,5156733,detail_images/5156733_05_88970cfb27cf.jpg,HAS_TEXT,HEURISTIC,0.3824,2026-08-15T20:54:16.750959+09:00,heuristic_score=0.3824
1.0,20260815-sunyeong-새우젓,1001718430,detail_images/1001718430_01_a8788439d8a5.jpg,HAS_TEXT,HEURISTIC,0.3306,2026-08-15T20:54:17.113286+09:00,heuristic_score=0.3306
1.0,20260815-sunyeong-새우젓,1001718430,detail_images/1001718430_02_bfe4a2722e71.jpg,HAS_TEXT,HEURISTIC,0.3777,2026-08-15T20:54:17.272113+09:00,heuristic_score=0.3777
1.0,20260815-sunyeong-새우젓,1001718430,detail_images/1001718430_03_a9489fb49484.jpg,HAS_TEXT,HEURISTIC,0.6358,2026-08-15T20:54:17.488200+09:00,heuristic_score=0.6358
