schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260815-sunyeong-핫도그,5136015,detail_images/5136015_01_cb6eea095eb4.jpg,HAS_TEXT,HEURISTIC,0.216,2026-08-15T22:12:18.854007+09:00,heuristic_score=0.2160
1.0,20260815-sunyeong-핫도그,5136015,detail_images/5136015_02_a2280b1b05c8.jpg,HAS_TEXT,HEURISTIC,0.5719,2026-08-15T22:12:19.002450+09:00,heuristic_score=0.5719
1.0,20260815-sunyeong-핫도그,5136015,detail_images/5136015_03_4bbc3d5f4843.jpg,HAS_TEXT,HEURISTIC,0.6835,2026-08-15T22:12:19.163373+09:00,heuristic_score=0.6835
1.0,20260815-sunyeong-핫도그,5101000,detail_images/5101000_01_5add23fb6690.jpg,HAS_TEXT,HEURISTIC,0.1566,2026-08-15T22:12:19.567976+09:00,heuristic_score=0.1566
1.0,20260815-sunyeong-핫도그,5101000,detail_images/5101000_02_1290d1f4ad7c.jpg,HAS_TEXT,HEURISTIC,0.4979,2026-08-15T22:12:19.720618+09:00,heuristic_score=0.4979
1.0,20260815-sunyeong-핫도그,5101000,detail_images/5101000_03_069b9a8c8b08.jpg,HAS_TEXT,HEURISTIC,0.6763,2026-08-15T22:12:19.813619+09:00,heuristic_score=0.6763
1.0,20260815-sunyeong-핫도그,5100657,detail_images/5100657_01_fa4ca8b803f0.jpg,HAS_TEXT,HEURISTIC,0.2434,2026-08-15T22:12:20.228971+09:00,heuristic_score=0.2434
1.0,20260815-sunyeong-핫도그,5100657,detail_images/5100657_02_cc2ed641cd38.jpg,HAS_TEXT,HEURISTIC,0.5276,2026-08-15T22:12:20.371879+09:00,heuristic_score=0.5276
1.0,20260815-sunyeong-핫도그,5100657,detail_images/5100657_03_cdd20cf3d39e.jpg,HAS_TEXT,HEURISTIC,0.6751,2026-08-15T22:12:20.498705+09:00,heuristic_score=0.6751
1.0,20260815-sunyeong-핫도그,1002049369,detail_images/1002049369_01_b0e0c04821d8.jpg,HAS_TEXT,HEURISTIC,0.2016,2026-08-15T22:12:21.005195+09:00,heuristic_score=0.2016
1.0,20260815-sunyeong-핫도그,1002049369,detail_images/1002049369_02_e4493890847f.jpg,HAS_TEXT,HEURISTIC,0.4837,2026-08-15T22:12:21.211503+09:00,heuristic_score=0.4837
1.0,20260815-sunyeong-핫도그,1002049369,detail_images/1002049369_03_d5cc9a22b769.jpg,HAS_TEXT,HEURISTIC,0.663,2026-08-15T22:12:21.403796+09:00,heuristic_score=0.6630
1.0,20260815-sunyeong-핫도그,1002049369,detail_images/1002049369_04_0cedf60106f9.jpg,HAS_TEXT,HEURISTIC,0.6753,2026-08-15T22:12:21.465605+09:00,heuristic_score=0.6753
1.0,20260815-sunyeong-핫도그,5025430,detail_images/5025430_01_1c5e0d08b451.jpg,HAS_TEXT,HEURISTIC,0.1977,2026-08-15T22:12:21.816992+09:00,heuristic_score=0.1977
1.0,20260815-sunyeong-핫도그,5025430,detail_images/5025430_02_8159651874af.jpg,HAS_TEXT,HEURISTIC,0.5095,2026-08-15T22:12:21.966302+09:00,heuristic_score=0.5095
1.0,20260815-sunyeong-핫도그,5025430,detail_images/5025430_03_3ad7e3177828.jpg,HAS_TEXT,HEURISTIC,0.6694,2026-08-15T22:12:22.088242+09:00,heuristic_score=0.6694
