schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260822-jaeseong-003,KURLY,5090272,[자연실록] 무항생제 닭 안심살 500g,무항생제 닭 안심살,https://www.kurly.com/goods/5090272,1팩,500g,,,NOT_FOUND,"26.08.22까지 주문시, 소비기한이 26.08.27 이후(해당일 포함)인 상품 발송",DOM,・-2~5℃에서 냉장 보관하세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5090272,
1.0,20260822-jaeseong-003,KURLY,5090272,[자연실록] 무항생제 닭 안심살 500g,무항생제 닭 안심살,https://www.kurly.com/goods/5090272,1팩,500g,,,NOT_FOUND,"26.08.22까지 주문시, 소비기한이 26.08.27 이후(해당일 포함)인 상품 발송",DOM,・-2~5℃에서 냉장 보관하세요.,DOM,REFRIGERATED,0.8743149214515499,,2026-08-22T18:22:21.075360+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5090272:2bd1b4a40c61,2bd1b4a40c618bae6cf111b7c19d860729b046fdb47e58936a18b219424f70b7
1.0,20260822-jaeseong-003,KURLY,5030115,[자연실록] 동물복지 닭 안심살 300g (냉장),동물복지 닭 안심살,https://www.kurly.com/goods/5030115,1팩,300g,,,NOT_FOUND,수령일 포함하여 최소 3일 남은 상품을 보내드립니다.,DOM,・-2~5ºC에서 냉장 보관해 주세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5030115,
1.0,20260822-jaeseong-003,KURLY,1001956097,[KF365] IQF 닭안심살 (냉동) 1kg,IQF 닭안심살 (냉동),https://www.kurly.com/goods/1001956097,1팩,1kg,,,NOT_FOUND,수령일 포함 최소 500일 남은 상품을 보내드립니다.,DOM,-18℃ 이하에서 냉동 보관하세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001956097,
1.0,20260822-jaeseong-003,KURLY,1001956097,[KF365] IQF 닭안심살 (냉동) 1kg,IQF 닭안심살 (냉동),https://www.kurly.com/goods/1001956097,1팩,1kg,,포장육,OCR,수령일 포함 최소 500일 남은 상품을 보내드립니다.,DOM,-18℃ 이하에서 냉동 보관하세요.,DOM,FROZEN,0.9212854385375977,,2026-08-22T18:22:42.332909+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1001956097:ef34a75083ef,ef34a75083efab904467c05e2204ab8f0fba0970101d0070832e652ead108c54
1.0,20260822-jaeseong-003,KURLY,1000459593,[Kurly's] 동물복지 닭 안심살 500g,동물복지 닭 안심살,https://www.kurly.com/goods/1000459593,1개,500g,,,NOT_FOUND,"26.08.23까지 주문시, 소비기한이 26.08.27 이후(해당일 포함)인 상품 발송",DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1000459593,
1.0,20260822-jaeseong-003,KURLY,1000459593,[Kurly's] 동물복지 닭 안심살 500g,동물복지 닭 안심살,https://www.kurly.com/goods/1000459593,1개,500g,,포장육,OCR,"26.08.23까지 주문시, 소비기한이 26.08.27 이후(해당일 포함)인 상품 발송",DOM,-2~5°C 냉장보관,OCR,UNKNOWN,0.8542057259215249,,2026-08-22T18:23:00.207389+09:00,0.2.0,MATCHED,COMPLETED,KURLY:1000459593:48ddfb9e9825,48ddfb9e98252a718392475331ce3624c517abdd1745426420804c75c9e07b12
1.0,20260822-jaeseong-003,KURLY,5059675,[KF365] 1등급 닭 안심살 2종 (냉장),1등급 닭 안심살 2종,https://www.kurly.com/goods/5059675,1팩,"500g, 1kg",,,NOT_FOUND,수령일 포함 6일 이상 남은 상품을 보내드립니다.,DOM,,NOT_FOUND,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5059675,
1.0,20260822-jaeseong-003,KURLY,5059675,[KF365] 1등급 닭 안심살 2종 (냉장),1등급 닭 안심살 2종,https://www.kurly.com/goods/5059675,1팩,"500g, 1kg",,포장육,OCR,수령일 포함 6일 이상 남은 상품을 보내드립니다.,DOM,-2~5°C,OCR,REFRIGERATED,0.9723033853939601,,2026-08-22T18:23:15.460432+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5059675:f3ca2d6eac16,f3ca2d6eac16a090a9ae850be4eb1f249a8218bd813d95da78d7e4ec621fd231
1.0,20260822-jaeseong-003,KURLY,5059675,[KF365] 1등급 닭 안심살 2종 (냉장),1등급 닭 안심살 2종,https://www.kurly.com/goods/5059675,1팩,"500g, 1kg",,포장육,OCR,수령일 포함 6일 이상 남은 상품을 보내드립니다.,DOM,-2~5°C 냉장보관,OCR,REFRIGERATED,0.9472235747746058,,2026-08-22T18:23:24.018685+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5059675:adcf0e088310,adcf0e0883108094530ba74c835bd0647da875c0dabf8d65440aae518d683a96
