schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260814-sunyeong-002,KURLY,5069882,[하림] 용가리 치킨 850g,용가리 치킨,https://www.kurly.com/goods/5069882,1봉,850g,,,NOT_FOUND,이 27.03.14 이후(해당일 포함)인 상품 발송,DOM,・냉동실에 보관해 주세요.,DOM,FROZEN,0.9464452083294208,,2026-08-14T20:29:10.981543+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5069882:0da4e762201c,0da4e762201cc9a3fca2e188fef8658608a9db6b25548f70ef2770da0111c715
1.0,20260814-sunyeong-002,KURLY,5069882,[하림] 용가리 치킨 850g,용가리 치킨,https://www.kurly.com/goods/5069882,1봉,850g,,분쇄가공육제품,OCR,이 27.03.14 이후(해당일 포함)인 상품 발송,DOM,・냉동실에 보관해 주세요.,DOM,FROZEN,0.9216673811534782,,2026-08-14T20:33:35.416533+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:5069882:24e60f1f0362,24e60f1f0362aff6fd1a574707c4df83cfe3f6319293016628a721b4cd57e18c
1.0,20260814-sunyeong-002,KURLY,1001393921,[하림] 킹용가리 770g,킹용가리,https://www.kurly.com/goods/1001393921,1팩,770g,,,NOT_FOUND,수령일 포함 110일 이상 남은 상품을 보내드립니다.,DOM,-18℃에서 냉동 보관하세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001393921,
1.0,20260814-sunyeong-002,KURLY,1001393921,[하림] 킹용가리 770g,킹용가리,https://www.kurly.com/goods/1001393921,1팩,770g,,분쇄가공육제품,OCR,수령일 포함 110일 이상 남은 상품을 보내드립니다.,DOM,-18℃에서 냉동 보관하세요.,DOM,FROZEN,0.9480503847201666,,2026-08-14T21:03:55.723034+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1001393921:a1acb80d5222,a1acb80d5222889a597f95e16fa5f97f671d91cd0fbc1be1867a87915fe6edd0
1.0,20260814-sunyeong-002,KURLY,1000086328,[하림] 용가리 떡갈비 600g,용가리 떡갈비,https://www.kurly.com/goods/1000086328,1개,600g,,,NOT_FOUND,이 27.03.07 이후(해당일 포함)인 상품 발송,DOM,냉동실에 보관해 주세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1000086328,
1.0,20260814-sunyeong-002,KURLY,1000086328,[하림] 용가리 떡갈비 600g,용가리 떡갈비,https://www.kurly.com/goods/1000086328,1개,600g,,후면상단표시일까지 분쇄가공육제품(비살균제품),OCR,이 27.03.07 이후(해당일 포함)인 상품 발송,DOM,냉동실에 보관해 주세요.,DOM,FROZEN,0.9408798330816729,,2026-08-14T21:22:33.156185+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1000086328:bd67e4805257,bd67e4805257bbb0152ecd6f22fb60a240549550d7295cb1c0d7fd776e51048d
1.0,20260814-sunyeong-002,KURLY,1001393929,[하림] 용가리치킨 볼 소이갈릭 450g,용가리치킨 볼 소이갈릭,https://www.kurly.com/goods/1001393929,1팩,450g,,,NOT_FOUND,수령일 포함 110일 이상 남은 상품을 보내드립니다.,DOM,-18℃에서 냉동 보관하세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001393929,
1.0,20260814-sunyeong-002,KURLY,1001393929,[하림] 용가리치킨 볼 소이갈릭 450g,용가리치킨 볼 소이갈릭,https://www.kurly.com/goods/1001393929,1팩,450g,,분쇄가공육제품(비살균제품),OCR,수령일 포함 110일 이상 남은 상품을 보내드립니다.,DOM,-18℃에서 냉동 보관하세요.,DOM,FROZEN,0.9444498375058175,,2026-08-14T21:34:45.995356+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1001393929:ae7519493bf9,ae7519493bf95ca31c290c8b63b796cee8fcda5d3bb7582f6ec1917bba259332
1.0,20260814-sunyeong-002,KURLY,5069883,[하림] 치킨너겟 850g,치킨너겟,https://www.kurly.com/goods/5069883,1봉,850g,,,NOT_FOUND,이 27.03.26 이후(해당일 포함)인 상품 발송,DOM,・냉동실에 보관해 주세요.,DOM,FROZEN,0.9439126344827505,,2026-08-14T21:44:45.559004+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5069883:f86200a26f90,f86200a26f9065b8eadee80b73e1dd481752d3cf0238bf6aa640480fec9093d4
1.0,20260814-sunyeong-002,KURLY,5069883,[하림] 치킨너겟 850g,치킨너겟,https://www.kurly.com/goods/5069883,1봉,850g,,분쇄가공육제품,OCR,이 27.03.26 이후(해당일 포함)인 상품 발송,DOM,・냉동실에 보관해 주세요.,DOM,FROZEN,0.9098574985476101,,2026-08-14T21:48:39.291009+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:5069883:4073ec7d1aad,4073ec7d1aad1750a22c351f4dc5d36ab6dcf3fef2da6f71aa463488f1f9b468
