schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260808-woohee-008,KURLY,1001449987,[종가] 열무김치 1.5kg,열무김치,https://www.kurly.com/goods/1001449987,,1.5kg,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,0~10℃에서 냉장 보관하세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001449987,
1.0,20260808-woohee-008,KURLY,1001449987,[종가] 열무김치 1.5kg,열무김치,https://www.kurly.com/goods/1001449987,,1.5kg,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,0~10℃에서 냉장 보관하세요.,DOM,REFRIGERATED,0.8452192976556975,,2026-08-08T18:33:04.123153+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1001449987:582dc5b0ca4d,582dc5b0ca4dbbf84722d07f32f4adc7971b903a8735afcaa966daac03899388
1.0,20260808-woohee-008,KURLY,5156480,[종가] 열무김치 400g,열무김치,https://www.kurly.com/goods/5156480,1팩,400g,,,NOT_FOUND,수령일 포함 10일 이상 남은 상품을 보내드립니다.,DOM,・0~10℃의 냉장고에 보관해 주세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5156480,
1.0,20260808-woohee-008,KURLY,5156480,[종가] 열무김치 400g,열무김치,https://www.kurly.com/goods/5156480,1팩,400g,,김치/비살균제품,OCR,수령일 포함 10일 이상 남은 상품을 보내드립니다.,DOM,・0~10℃의 냉장고에 보관해 주세요.,DOM,REFRIGERATED,0.8439327017512432,,2026-08-08T18:34:49.382107+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:5156480:401f01c14586,401f01c14586b0a97a2d073d5e3140551435c916ddfdfb9f91c70fafd793c869
1.0,20260808-woohee-008,KURLY,5156429,[조선호텔김치] 열무김치 1KG,열무김치,https://www.kurly.com/goods/5156429,1팩,1kg,,,NOT_FOUND,수령일 포함 115일 이상 남은 상품을 보내드립니다. (소비기한: 제조일로부터 120일),DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5156429,
1.0,20260808-woohee-008,KURLY,5156429,[조선호텔김치] 열무김치 1KG,열무김치,https://www.kurly.com/goods/5156429,1팩,1kg,,김치/비살균제품,OCR,수령일 포함 115일 이상 남은 상품을 보내드립니다. (소비기한: 제조일로부터 120일),DOM_AND_OCR,분쟁해결기준에 의거 교환 또는 환불,OCR,UNKNOWN,0.9495876022413665,,2026-08-08T18:36:39.238077+09:00,0.2.0,MATCHED,COMPLETED,KURLY:5156429:1b606ac2279a,1b606ac2279aab1c1b491f31525a503a2f46b8941e343bd45f24830463dc0f13
1.0,20260808-woohee-008,KURLY,1000951804,[종가] 백열무물김치 1.2kg (PET),백열무물김치 (PET),https://www.kurly.com/goods/1000951804,1개,1.2kg,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,-수령일 포함 20일 이상 남은 제품으로 받아보실 수 있습니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1000951804,
1.0,20260808-woohee-008,KURLY,1000951804,[종가] 백열무물김치 1.2kg (PET),백열무물김치 (PET),https://www.kurly.com/goods/1000951804,1개,1.2kg,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,-수령일 포함 20일 이상 남은 제품으로 받아보실 수 있습니다.,DOM,,NOT_FOUND,UNKNOWN,0.9389611840248108,,2026-08-08T18:37:58.583802+09:00,0.2.0,MATCHED,COMPLETED,KURLY:1000951804:d33a1ed1acb4,d33a1ed1acb4368260fc3cb23f658e2e079597d8803e2e9140aa135b4d29cee7
1.0,20260808-woohee-008,KURLY,1000951804,[종가] 백열무물김치 1.2kg (PET),백열무물김치 (PET),https://www.kurly.com/goods/1000951804,1개,1.2kg,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,-수령일 포함 20일 이상 남은 제품으로 받아보실 수 있습니다.,DOM,,NOT_FOUND,UNKNOWN,0.9506809910138448,,2026-08-08T18:38:50.517068+09:00,0.2.0,MATCHED,COMPLETED,KURLY:1000951804:fcbb0beb9982,fcbb0beb9982951d6cbbc741df6544086b285cad04d829cb5dad352a4a4e2725
1.0,20260808-woohee-008,KURLY,1000951804,[종가] 백열무물김치 1.2kg (PET),백열무물김치 (PET),https://www.kurly.com/goods/1000951804,1개,1.2kg,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,-수령일 포함 20일 이상 남은 제품으로 받아보실 수 있습니다.,DOM,,NOT_FOUND,UNKNOWN,0.8567314483225346,,2026-08-08T18:39:04.161979+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1000951804:d8a3b3c960da,d8a3b3c960daa3f798d5c7c8955342dd9b38e879053af4bf12b1e2b3b6f25ba3
